epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2147.73,1.21364,0.66916,1.09665,0.84327,0.88372,0.92796,0.58731,1.36072,0.69847,1.19577,0.00143595,0.00143595,0.00143595
86,2171.52,1.20248,0.65531,1.09046,0.83841,0.89554,0.93638,0.59191,1.37014,0.67616,1.19323,0.0014332,0.0014332,0.0014332
87,2195.28,1.22078,0.67146,1.09905,0.82495,0.89479,0.93125,0.60664,1.34107,0.67066,1.18072,0.00143045,0.00143045,0.00143045
88,2219.46,1.21626,0.65419,1.09579,0.83921,0.88603,0.92974,0.58388,1.37883,0.68586,1.21461,0.0014277,0.0014277,0.0014277
89,2243.23,1.21362,0.66235,1.08638,0.83645,0.90092,0.93868,0.60069,1.35876,0.66416,1.18928,0.00142495,0.00142495,0.00142495
90,2267.38,1.22348,0.67361,1.10079,0.82371,0.88687,0.92884,0.59827,1.34065,0.67636,1.17785,0.0014222,0.0014222,0.0014222
91,2291.69,1.21763,0.66007,1.09144,0.84024,0.88877,0.92756,0.59633,1.36285,0.67539,1.17985,0.00141945,0.00141945,0.00141945
92,2320.53,1.2141,0.65901,1.09258,0.83298,0.89374,0.92731,0.60528,1.31418,0.67292,1.17313,0.0014167,0.0014167,0.0014167
93,2346.87,1.21154,0.6641,1.09852,0.86676,0.86644,0.92805,0.58482,1.37788,0.67577,1.21883,0.00141395,0.00141395,0.00141395
94,2372.39,1.214,0.65007,1.09872,0.85167,0.86476,0.92554,0.58848,1.36419,0.71098,1.20458,0.0014112,0.0014112,0.0014112
95,2400.02,1.20149,0.64828,1.08849,0.82617,0.8544,0.91282,0.57574,1.37117,0.72288,1.20452,0.00140845,0.00140845,0.00140845
96,2424.04,1.20276,0.65718,1.09079,0.8375,0.9013,0.93508,0.61979,1.30636,0.6711,1.17108,0.0014057,0.0014057,0.0014057
97,2453.03,1.21461,0.66065,1.09584,0.83011,0.90286,0.93523,0.58471,1.42597,0.70987,1.23872,0.00140295,0.00140295,0.00140295
98,2480.82,1.20064,0.66036,1.08041,0.85154,0.87332,0.94127,0.61461,1.34439,0.67361,1.18773,0.0014002,0.0014002,0.0014002
99,2506.59,1.20436,0.65009,1.08374,0.83955,0.87606,0.9326,0.60706,1.33572,0.66542,1.17887,0.00139745,0.00139745,0.00139745
100,2532.21,1.18556,0.64591,1.08214,0.84689,0.87044,0.9335,0.61748,1.3331,0.66722,1.18942,0.0013947,0.0013947,0.0013947
101,2559.28,1.18173,0.63929,1.07601,0.84279,0.8778,0.93753,0.58824,1.38055,0.67578,1.21716,0.00139195,0.00139195,0.00139195
102,2584.99,1.18027,0.64299,1.08158,0.86942,0.84322,0.93399,0.58904,1.38241,0.68165,1.21111,0.00138919,0.00138919,0.00138919
103,2608.75,1.1972,0.64414,1.0842,0.86454,0.86542,0.93851,0.58363,1.39346,0.69253,1.2191,0.00138644,0.00138644,0.00138644
104,2632.44,1.17757,0.64043,1.07647,0.82377,0.89791,0.93119,0.60272,1.33939,0.67423,1.17815,0.00138369,0.00138369,0.00138369
105,2656.25,1.19256,0.6416,1.08447,0.84944,0.87539,0.93146,0.57392,1.42085,0.69132,1.21867,0.00138094,0.00138094,0.00138094
106,2679.92,1.16979,0.64279,1.07513,0.85229,0.8436,0.92635,0.58211,1.38188,0.70212,1.20968,0.00137819,0.00137819,0.00137819
107,2703.62,1.17594,0.63647,1.08311,0.82228,0.9055,0.93664,0.61497,1.33394,0.6509,1.17655,0.00137544,0.00137544,0.00137544
108,2727.45,1.19355,0.64223,1.0768,0.83939,0.86762,0.93029,0.58592,1.39899,0.68805,1.2331,0.00137269,0.00137269,0.00137269
109,2751.2,1.1929,0.65365,1.07142,0.86131,0.85276,0.93322,0.60006,1.33434,0.66567,1.19132,0.00136994,0.00136994,0.00136994
110,2775.08,1.18545,0.63039,1.07807,0.86365,0.85679,0.94215,0.61886,1.31297,0.65962,1.17152,0.00136719,0.00136719,0.00136719
111,2798.81,1.18508,0.63228,1.07729,0.81373,0.92211,0.93605,0.60078,1.33963,0.67146,1.18556,0.00136444,0.00136444,0.00136444
112,2823.24,1.179,0.63285,1.06819,0.83725,0.90048,0.94066,0.63024,1.30249,0.64925,1.17323,0.00136169,0.00136169,0.00136169
113,2848.36,1.19454,0.63482,1.08231,0.84066,0.87651,0.93335,0.60474,1.35488,0.65544,1.19522,0.00135894,0.00135894,0.00135894
114,2877.19,1.17817,0.63333,1.07575,0.83682,0.88575,0.93048,0.59385,1.3498,0.67617,1.18751,0.00135619,0.00135619,0.00135619
115,2902.53,1.16652,0.64572,1.07648,0.84473,0.88394,0.9302,0.60026,1.34633,0.67818,1.19235,0.00135344,0.00135344,0.00135344
116,2929.39,1.16045,0.62526,1.06366,0.83703,0.90236,0.93175,0.58374,1.39711,0.66673,1.21748,0.00135069,0.00135069,0.00135069
117,2956.57,1.16449,0.63773,1.07258,0.81852,0.905,0.92521,0.59437,1.38886,0.67919,1.21253,0.00134794,0.00134794,0.00134794
118,2982.51,1.16385,0.61896,1.06399,0.85547,0.8755,0.92613,0.59613,1.32599,0.66901,1.18679,0.00134519,0.00134519,0.00134519
119,3008.62,1.16902,0.63121,1.0743,0.82126,0.89638,0.92605,0.604,1.34432,0.66844,1.19049,0.00134244,0.00134244,0.00134244
120,3034.31,1.18238,0.63738,1.07257,0.86366,0.8859,0.93563,0.5947,1.36482,0.652,1.2012,0.00133968,0.00133968,0.00133968
121,3060.79,1.14573,0.61968,1.0754,0.83373,0.91638,0.93691,0.60463,1.34089,0.65316,1.19213,0.00133693,0.00133693,0.00133693
122,3086.62,1.15346,0.62508,1.06728,0.86367,0.89513,0.94459,0.60877,1.37215,0.6423,1.20255,0.00133418,0.00133418,0.00133418
123,3112.77,1.15878,0.6233,1.07273,0.87126,0.85936,0.93404,0.60166,1.33603,0.65636,1.19514,0.00133143,0.00133143,0.00133143
124,3138.85,1.13732,0.61444,1.06221,0.83147,0.92064,0.93461,0.60529,1.34752,0.67204,1.20762,0.00132868,0.00132868,0.00132868
125,3165.18,1.16551,0.62312,1.06999,0.84311,0.9125,0.94715,0.59144,1.40852,0.65958,1.22259,0.00132593,0.00132593,0.00132593
126,3191.69,1.16426,0.61311,1.0689,0.85101,0.86462,0.93116,0.61148,1.33807,0.66246,1.18829,0.00132318,0.00132318,0.00132318
127,3217.84,1.14635,0.61581,1.06951,0.83241,0.87081,0.91756,0.59742,1.35101,0.68064,1.19697,0.00132043,0.00132043,0.00132043
128,3244.03,1.14635,0.60765,1.06798,0.84158,0.89095,0.93432,0.61141,1.33471,0.65609,1.19012,0.00131768,0.00131768,0.00131768
129,3270.02,1.1646,0.61901,1.08001,0.87111,0.85311,0.93493,0.60379,1.36766,0.66851,1.20282,0.00131493,0.00131493,0.00131493
130,3295.98,1.13992,0.61597,1.06362,0.82975,0.9008,0.93736,0.6103,1.33088,0.64799,1.1915,0.00131218,0.00131218,0.00131218
131,3322.16,1.16229,0.62358,1.07501,0.84521,0.89,0.93168,0.59279,1.36356,0.6613,1.21641,0.00130943,0.00130943,0.00130943
132,3348.93,1.14685,0.61995,1.06449,0.83938,0.88721,0.93183,0.59769,1.34349,0.67855,1.19766,0.00130668,0.00130668,0.00130668
133,3375.17,1.14294,0.61198,1.06161,0.83512,0.88702,0.94042,0.58147,1.40394,0.67081,1.22592,0.00130393,0.00130393,0.00130393
134,3401.45,1.14369,0.6177,1.06969,0.84409,0.86134,0.93037,0.59785,1.35208,0.68115,1.20892,0.00130118,0.00130118,0.00130118
135,3427.56,1.15203,0.61868,1.06152,0.80479,0.91725,0.93301,0.59431,1.37228,0.66286,1.21054,0.00129843,0.00129843,0.00129843
136,3453.9,1.14892,0.62131,1.05975,0.83375,0.89201,0.93436,0.60573,1.3621,0.66438,1.2107,0.00129568,0.00129568,0.00129568
137,3479.84,1.14631,0.61979,1.06906,0.85467,0.87629,0.9354,0.61088,1.35351,0.67936,1.19603,0.00129293,0.00129293,0.00129293
138,3506.85,1.13111,0.60629,1.05554,0.82302,0.92182,0.93788,0.60273,1.35047,0.66188,1.19285,0.00129017,0.00129017,0.00129017
139,3533.16,1.13813,0.60529,1.06066,0.83035,0.8991,0.9273,0.60106,1.34367,0.65528,1.20037,0.00128742,0.00128742,0.00128742
140,3559.09,1.14734,0.62171,1.06382,0.79283,0.89704,0.92741,0.60663,1.34351,0.67313,1.19619,0.00128467,0.00128467,0.00128467
141,3585.27,1.13215,0.61252,1.05457,0.8266,0.90147,0.94073,0.61132,1.34899,0.65576,1.183,0.00128192,0.00128192,0.00128192
142,3613.29,1.14199,0.61086,1.07179,0.84632,0.86816,0.93266,0.61821,1.33228,0.66596,1.18831,0.00127917,0.00127917,0.00127917
